self-organizing maps  (Abstract) AND Meteorology & Atmospheric Sciences  (Web of Science Categories)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Self-organizing maps: applications to synoptic climatology","Hewitson, BC; Crane, RG","","","","CLIMATE RESEARCH","AUG 8 2002","2002","22","1","","","","13","26","","10.3354/cr022013","","","477","20.74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","4","7","10","12","14","22","17","24","19","19","18","32","31","29","27","36","32","31","30","31","25"
"Methods for imputation of missing values in air quality data sets","Junninen, H; Niska, H; Tuppurainen, K; Ruuskanen, J; Kolehmainen, M","","","","ATMOSPHERIC ENVIRONMENT","JUN 2004","2004","38","18","","","","2895","2907","","10.1016/j.atmosenv.2004.02.026","","","388","18.48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","7","10","4","7","10","19","10","19","23","20","11","30","30","53","37","29","29","28"
"Adaptation to climate change and variability: farmer responses to intra-seasonal precipitation trends in South Africa","Thomas, David S. G.; Twyman, Chasca; Osbahr, Henny; Hewitson, Bruce","","","","CLIMATIC CHANGE","AUG 2007","2007","83","3","","","","301","322","","10.1007/s10584-006-9205-4","","","364","20.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","11","17","14","17","19","34","29","21","27","27","30","36","28","17","20","10"
"Consensus between GCM climate change projections with empirical downscaling: Precipitation downscaling over South Africa","Hewitson, B. C.; Crane, R. G.","","","","INTERNATIONAL JOURNAL OF CLIMATOLOGY","AUG 2006","2006","26","10","","","","1315","1337","","10.1002/joc.1314","","","325","17.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","10","18","24","27","16","22","32","18","21","23","28","11","21","14","11","11","8"
"Neural networks and periodic components used in air quality forecasting","Kolehmainen, M; Martikainen, H; Ruuskanen, J","","","","ATMOSPHERIC ENVIRONMENT","2001","2001","35","5","","","","815","825","","10.1016/S1352-2310(00)00385-X","","","234","9.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","10","10","10","19","8","16","9","15","10","9","9","7","13","11","10","8","10","11","14","12","7","3"
"How Many ENSO Flavors Can We Distinguish?","Johnson, Nathaniel C.","","","","JOURNAL OF CLIMATE","JUL 2013","2013","26","13","","","","4816","4827","","10.1175/JCLI-D-12-00649.1","","","213","17.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","20","14","20","24","24","31","16","16","23","15"
"Using self-organizing maps to investigate extreme climate events: An application to wintertime precipitation in the Balkans","Cavazos, T","","","","JOURNAL OF CLIMATE","MAY 15 2000","2000","13","10","","","","1718","1732","","10.1175/1520-0442(2000)013<1718:USOMTI>2.0.CO;2","","","184","7.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","3","3","8","12","10","6","9","12","8","8","4","3","6","9","7","15","11","9","10","4","5","12"
"Projected future changes in synoptic systems influencing southwest Western Australia","Hope, PK","","","","CLIMATE DYNAMICS","JUN 2006","2006","26","7-8","","","","765","780","","10.1007/s00382-006-0116-x","","","162","8.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","9","11","14","12","14","5","15","13","8","6","7","13","8","7","5","4","3"
"Local and synoptic meteorological influences on daily variability in summertime surface ozone in eastern China","Han, Han; Liu, Jane; Shu, Lei; Wang, Tijian; Yuan, Huiling","","","","ATMOSPHERIC CHEMISTRY AND PHYSICS","JAN 6 2020","2020","20","1","","","","203","222","","10.5194/acp-20-203-2020","","","160","32.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","25","36","41","49"
"Large-scale circulation anomalies conducive to extreme precipitation events and derivation of daily rainfall in northeastern Mexico and southeastern Texas","Cavazos, T","","","","JOURNAL OF CLIMATE","MAY 1999","1999","12","5","2","","","1506","1523","","10.1175/1520-0442(1999)012<1506:LSCACT>2.0.CO;2","","","158","6.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","7","7","3","4","9","8","7","6","4","7","10","3","4","6","8","9","6","7","10","9","5","7","4","5"
