U-Nets  (Abstract) AND Meteorology & Atmospheric Sciences  (Web of Science Categories)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"A comparative study of convolutional neural network models for wind field downscaling","Hoehlein, Kevin; Kern, Michael; Hewson, Timothy; Westermann, Rudiger","","","","METEOROLOGICAL APPLICATIONS","NOV 2020","2020","27","6","","","","","","e1961","10.1002/met.1961","","","55","11.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","10","14","25"
"Deep Learning for Improving Numerical Weather Prediction of Heavy Rainfall","Hess, Philipp; Boers, Niklas","","","","JOURNAL OF ADVANCES IN MODELING EARTH SYSTEMS","MAR 2022","2022","14","3","","","","","","e2021MS002765","10.1029/2021MS002765","","","41","13.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","14","25"
"Prediction of Solar Irradiance and Photovoltaic Solar Energy Product Based on Cloud Coverage Estimation Using Machine Learning Methods","Park, Seongha; Kim, Yongho; Ferrier, Nicola J.; Collis, Scott M.; Sankaran, Rajesh; Beckman, Pete H.","","","","ATMOSPHERE","MAR 2021","2021","12","3","","","","","","395","10.3390/atmos12030395","","","41","10.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","9","12","16"
"Arctic sea ice cover data from spaceborne synthetic aperture radar by deep learning","Wang, Yi-Ran; Li, Xiao-Ming","","","","EARTH SYSTEM SCIENCE DATA","JUN 15 2021","2021","13","6","","","","2723","2742","","10.5194/essd-13-2723-2021","","","39","9.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","12","16"
"A new satellite-derived dataset for marine aquaculture areas in China's coastal region","Fu, Yongyong; Deng, Jinsong; Wang, Hongquan; Comber, Alexis; Yang, Wu; Wu, Wenqiang; You, Shixue; Lin, Yi; Wang, Ke","","","","EARTH SYSTEM SCIENCE DATA","MAY 3 2021","2021","13","4","","","","1829","1842","","10.5194/essd-13-1829-2021","","","37","9.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","14","7","15"
"An ensemble deep learning based shoreline segmentation approach (WaterNet) from Landsat 8 OLI images","Erdem, Firat; Bayram, Bulent; Bakirman, Tolga; Bayrak, Onur Can; Akpinar, Burak","","","","ADVANCES IN SPACE RESEARCH","FEB 1 2021","2021","67","3","","","","964","974","","10.1016/j.asr.2020.10.043","","","30","7.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","10","11"
"Tropical and Extratropical Cyclone Detection Using Deep Learning","Kumler-Bonfanti, Christina; Stewart, Jebb; Hall, David; Govett, Mark","","","","JOURNAL OF APPLIED METEOROLOGY AND CLIMATOLOGY","DEC 2020","2020","59","12","","","","1971","1985","","10.1175/JAMC-D-20-0117.1","","","29","5.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","11","7","7"
"Using Deep Learning to Emulate and Accelerate a Radiative Transfer Model","Lagerquist, Ryan; Turner, David; Ebert-Uphoff, Imme; Stewart, Jebb; Hagerty, Venita","","","","JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY","OCT 2021","2021","38","10","","","","1673","1696","","10.1175/JTECH-D-21-0007.1","","","26","6.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","12"
"ARPEGE Cloud Cover Forecast Postprocessing with Convolutional Neural Network","Dupuy, Florian; Mestre, Olivier; Serrurier, Mathieu; Burda, Valentin Kivachuk; Zamo, Michael; Cabrera-Gutierrez, Naty Citlali; Bakkay, Mohamed Chafik; Jouhaud, Jean-Christophe; Mader, Maud-Alix; Oller, Guillaume","","","","WEATHER AND FORECASTING","APR 2021","2021","36","2","","","","567","586","","10.1175/WAF-D-20-0093.1","","","24","6.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","8","7"
"Using Deep Learning to Nowcast the Spatial Coverage of Convection from <i>Himawari-8</i> Satellite Data","Lagerquist, Ryan; Stewart, Jebb Q.; Ebert-Uphoff, Imme; Kumler, Christina","","","","MONTHLY WEATHER REVIEW","DEC 2021","2021","149","12","","","","3897","3921","","10.1175/MWR-D-21-0096.1","","","19","4.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","6","9"
